Time,HUM
  27.371980607,  56.954166412
  27.452320240,  57.073356628
  27.532659874,  56.988220215
  27.612999507,  57.090385437
  27.693339141,  57.087951660
  27.773678774,  56.944438934
  27.854018408,  57.000385284
  27.934358041,  57.046600342
  28.014697675,  57.032005310
  28.095037308,  56.971195221
  28.175376942,  57.014980316
  28.255712993,  57.049034119
  28.336049044,  57.000385284
  28.416385096,  56.973625183
  28.496721147,  57.007682800
  28.577057198,  56.966327667
  28.657393250,  57.022277832
  28.737729301,  57.010112762
  28.818065352,  56.956600189
  28.898401404,  56.966327667
  28.978737455,  57.000385284
  29.059073506,  57.012546539
  29.139409558,  57.032005310
  29.219745609,  57.012546539
  29.300081660,  57.056331635
  29.380417712,  57.068492889
  29.460753763,  56.937141418
  29.541089814,  57.041736603
  29.621425866,  57.061195374
  29.701761917,  56.956600189
  29.782097968,  56.993087769
  29.862434020,  57.124439240
  29.942770071,  57.100116730
  30.023106122,  57.017410278
  30.103442174,  57.039302826
  30.183778225,  56.988220215
  30.264114276,  57.041736603
  30.344450328,  57.068492889
  30.424786379,  57.080654144
  30.505122430,  57.027141571
  30.585458482,  57.046600342
  30.665794533,  57.041736603
  30.746130584,  57.056331635
  30.826466636,  57.075790405
  30.906802687,  57.012546539
  30.987138738,  57.073356628
  31.067474790,  57.102546692
  31.147810841,  57.002815247
  31.228146892,  56.956600189
  31.308482944,  57.036872864
  31.388818995,  57.117141724
  31.469155046,  57.066059113
  31.549491098,  57.134170532
  31.629827149,  57.039302826
  31.710163200,  57.058761597
  31.790499252,  57.051464081
  31.870835303,  57.010112762
  31.951171354,  57.056331635
  32.031507406,  57.126873016
  32.111843457,  57.119575500
  32.192179508,  57.061195374
  32.272516638,  57.046600342
  32.352853768,  57.005249023
  32.433190898,  57.100116730
  32.513528028,  57.070926666
  32.593865157,  57.068492889
  32.674202287,  57.097682953
  32.754539417,  57.036872864
  32.834876547,  57.090385437
  32.915213677,  57.029575348
  32.995550807,  57.002815247
  33.075887936,  57.019844055
  33.156225066,  57.049034119
  33.236562196,  57.107414246
  33.316899326,  56.990653992
  33.397236456,  56.980922699
  33.477573586,  57.019844055
  33.557910716,  57.019844055
  33.638247845,  57.117141724
  33.718584975,  57.039302826
  33.798922105,  57.073356628
  33.879259235,  56.993087769
  33.959596365,  57.058761597
  34.039933494,  57.056331635
  34.120270624,  57.012546539
  34.200607754,  57.027141571
  34.280944884,  57.046600342
  34.361282014,  56.985790253
  34.441619144,  57.014980316
  34.521956273,  56.954166412
  34.602293403,  57.005249023
  34.682630533,  57.029575348
  34.762967663,  57.012546539
  34.843304793,  57.100116730
  34.923641923,  57.027141571
  35.003979053,  57.039302826
  35.084316182,  56.932273865
  35.164653312,  57.010112762
  35.244990442,  57.051464081
  35.325327572,  57.075790405
  35.405664702,  56.995517731
  35.486001831,  57.070926666
  35.566338961,  57.078224182
  35.646676091,  56.946868896
  35.727013221,  57.007682800
  35.807350351,  57.014980316
  35.887687481,  57.066059113
  35.968024610,  57.049034119
  36.048361740,  57.114711761
  36.128698870,  57.066059113
  36.209036000,  57.022277832
  36.289374161,  57.056331635
  36.369712323,  56.929843903
  36.450050484,  56.934707642
  36.530388646,  57.002815247
  36.610726808,  56.980922699
  36.691064969,  57.019844055
  36.771403130,  57.014980316
  36.851741292,  57.029575348
  36.932079453,  57.124439240
  37.012417615,  57.095249176
  37.092755776,  57.058761597
  37.173093938,  56.973625183
  37.253432099,  56.976058960
  37.333770261,  57.097682953
  37.414108423,  56.990653992
  37.494446584,  56.939571381
  37.574784745,  56.993087769
  37.655122907,  57.063629150
